Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"16,793",43,56.2,149.9,56.2,149.9,70.9
"64,048",49,85.2,188.9,86.5,186.2,376.4
"11,180",,39.5,92.9,39.5,92.9,33.3
"146,793",,10.8,31.9,10.8,31.9,125.5
"27,000",,17.1,37.7,21,41.7,31.8
"47,169",,79.3,163.9,86.5,171.5,250.4
"54,702",,14.3,43.6,14.3,43.6,40.6
"12,077",,27,68.3,29.7,71.1,23.9
"38,795",96,25.7,53.9,32.2,61.7,72.8
"62,534",,65.1,158.4,65.1,158.4,309.5
"43,060",,126.8,268.8,128.2,265.7,369.4
"24,178",98,22.5,57.3,24.5,59.4,39.9
"11,690",87,30.2,74.3,30.2,74.3,25.5
"15,425",,72.4,174.4,70.9,169.7,80
"40,520",22,265.7,654.8,264.1,649.9,778.9
"140,860",62,89.2,194.6,91.7,195.5,742.7
"101,074",,51.3,160.4,49.2,153.7,422
"42,120",53,71.7,135.2,71.7,135.2,194.7
"16,700",91,51,89.8,52.6,93.3,43.9
"39,504",26,118.4,205.6,118.4,205.6,197.2
"15,559",59,101.3,161.7,102.4,165.3,74
"17,280",45,73.3,145.4,73.3,145.4,83.4
"107,743",67,39,81.5,39.4,82.8,282.4
"14,698",57,87.6,149.8,89.5,151.8,71.2
"16,371",62,59.5,107.1,66,122.3,61.7
"23,275",31,99.7,153.4,99.7,153.4,138.6
"24,840",62,64.7,125.5,65.7,128.7,104.8
"21,600",34,84.8,162.5,86.6,167.9,118.9
"56,598",14,116.7,187.5,116.7,187.5,400.8
"122,396",8,128.2,282.7,128.2,282.7,576.9
"24,341",46,92.1,164.4,93.9,170.1,119.4
"15,429",,38.7,104.6,39.2,102.3,31.7
"27,912",,19,29.6,23.5,34.3,31.8
"42,600",,16.5,47.4,17.3,48.2,44.4
"54,030",80,66.8,102.6,71.3,107.4,184.3
"27,948",,14.7,46.1,14.7,46.1,33.5
"107,908",,26.9,83.4,27.1,83.6,234.9
"16,890",70,43.8,124.2,46.1,125.6,57.2
"24,000",,21.2,66.6,21.2,66.6,41.5
"263,062",73,61.3,175.6,64,178.4,680.3
"88,202",64,63.1,168.3,61.9,164.6,351.6
"12,739",41,70,151.5,70,151.5,60.9
